iter	Quantile:alpha=0.9
0	51.93885387
1	49.73701723
2	47.71077883
3	46.01437429
4	44.3004601
5	42.73324462
6	41.26653351
7	39.67005827
8	38.39646279
9	37.11263044
10	36.05511325
11	35.10455726
12	33.75242911
13	32.53839079
14	31.32339245
15	30.13775939
16	29.42512668
17	28.35238245
18	27.29212716
19	26.57176498
20	25.58849071
21	24.58840823
22	23.99457322
23	23.19207553
24	22.62063544
25	22.09398293
26	21.57930944
27	20.96319946
28	20.37237508
29	20.09423089
30	19.54091907
31	19.04387491
32	18.78216049
33	18.32560339
34	17.93606605
35	17.47313825
36	17.22451734
37	16.93411009
38	16.72181191
39	16.36639649
40	16.09924057
41	15.82082086
42	15.53446572
43	15.14082337
44	14.98161422
45	14.7720052
46	14.59099117
47	14.34175283
48	14.2280982
49	14.12669924
50	13.98068237
51	13.69151604
52	13.4392401
53	13.14973579
54	12.87450874
55	12.7411314
56	12.54535061
57	12.376531
58	12.04474882
59	11.94388374
60	11.80837227
61	11.62759445
62	11.38064119
63	11.20846371
64	11.00940849
65	10.77590591
66	10.54948565
67	10.28949434
68	10.20736774
69	10.10135071
70	9.986639372
71	9.742468321
72	9.682045457
73	9.560052974
74	9.370278383
75	9.205173627
76	9.109468915
77	8.957561656
78	8.865194635
79	8.734539067
80	8.58744521
81	8.437239268
82	8.336416691
83	8.21511099
84	8.139122813
85	8.064960117
86	7.957495475
87	7.892371747
88	7.837408197
89	7.724198934
90	7.61726878
91	7.512366707
92	7.461372272
93	7.35241529
94	7.293407721
95	7.236352781
96	7.116657752
97	7.025686734
98	6.957653592
99	6.869767122
100	6.833013235
101	6.761057979
102	6.683876284
103	6.649880054
104	6.619228929
105	6.494302609
106	6.450916787
107	6.363064872
108	6.261849203
109	6.181707317
110	6.124646298
111	6.07642205
112	5.994557094
113	5.939927579
114	5.860681318
115	5.807109233
116	5.773366932
117	5.703383049
118	5.637097809
119	5.563413345
120	5.507333859
121	5.445439258
122	5.403810059
123	5.356029956
124	5.299666048
125	5.256500075
126	5.218415104
127	5.159152429
128	5.119716967
129	5.095361713
130	5.057629808
131	4.987892075
132	4.948723119
133	4.90166758
134	4.840703092
135	4.792122991
136	4.746294732
137	4.697742102
138	4.649507935
139	4.613848886
140	4.561364638
141	4.529060753
142	4.507402403
143	4.478297668
144	4.443094793
145	4.395878947
146	4.357038596
147	4.314352258
148	4.275399391
149	4.238510331
150	4.197193064
151	4.164653353
152	4.135497151
153	4.106795291
154	4.057342739
155	4.026196738
156	3.993396495
