iter	Passed	Remaining
0	9	9000
1	13	6951
2	19	6384
3	24	6039
4	29	5789
5	34	5670
6	38	5527
7	44	5482
8	50	5589
9	56	5553
10	60	5475
11	65	5418
12	70	5340
13	74	5279
14	79	5225
15	84	5178
16	88	5136
17	93	5095
18	98	5061
19	102	5040
20	107	5025
21	112	5001
22	117	4985
23	121	4959
24	126	4935
25	131	4911
26	135	4897
27	140	4874
28	145	4878
29	150	4856
30	154	4844
31	159	4827
32	164	4812
33	168	4798
34	173	4787
35	178	4772
36	183	4762
37	187	4753
38	192	4745
39	197	4730
40	201	4717
41	206	4706
42	210	4694
43	215	4685
44	220	4679
45	225	4671
46	229	4662
47	234	4656
48	239	4646
49	244	4639
50	248	4632
51	253	4623
52	258	4613
53	263	4607
54	267	4600
55	272	4595
56	277	4588
57	282	4580
58	286	4574
59	291	4564
60	296	4558
61	300	4551
62	305	4545
63	310	4537
64	314	4530
65	319	4522
66	324	4517
67	328	4508
68	333	4504
69	338	4499
70	343	4494
71	348	4488
72	353	4482
73	357	4479
74	362	4472
75	367	4465
76	372	4460
77	376	4453
78	381	4449
79	386	4442
80	391	4437
81	395	4431
82	400	4427
83	405	4420
84	410	4416
85	415	4413
86	420	4409
87	427	4429
88	434	4446
89	439	4439
90	443	4430
91	448	4424
92	453	4421
93	458	4421
94	463	4416
95	468	4410
96	473	4405
97	477	4399
98	486	4425
99	491	4419
100	495	4414
101	500	4409
102	505	4402
103	510	4395
104	515	4389
105	520	4385
106	524	4379
107	529	4373
108	534	4369
109	539	4367
110	544	4361
111	549	4357
112	554	4352
113	559	4345
114	563	4339
115	568	4333
116	573	4327
117	578	4322
118	583	4316
119	587	4310
120	592	4304
121	597	4297
122	602	4293
123	606	4287
124	611	4281
125	616	4276
126	621	4270
127	625	4264
128	630	4259
129	635	4252
130	640	4246
131	644	4240
132	649	4236
133	654	4232
134	659	4226
135	664	4221
136	669	4215
137	673	4208
138	678	4203
139	683	4198
140	688	4192
141	693	4187
142	697	4182
143	702	4177
144	707	4170
145	712	4166
146	717	4160
147	721	4154
148	726	4148
149	731	4142
150	735	4137
151	741	4134
152	746	4131
153	751	4126
154	756	4122
155	761	4117
156	765	4111
157	770	4106
158	775	4099
159	780	4096
160	785	4093
161	790	4087
162	795	4082
163	799	4077
164	804	4072
165	809	4067
166	814	4062
167	819	4057
168	823	4051
169	828	4046
170	833	4040
171	838	4034
172	842	4029
173	847	4022
174	852	4017
175	856	4011
176	861	4005
177	866	3999
178	870	3994
179	875	3988
180	880	3983
181	885	3978
182	889	3973
183	894	3967
184	899	3962
185	903	3955
186	908	3951
187	913	3946
188	918	3941
189	923	3935
190	927	3930
191	932	3926
192	937	3920
193	942	3915
194	947	3909
195	952	3905
196	956	3899
197	961	3894
198	966	3889
199	971	3885
200	976	3881
201	981	3876
202	986	3873
203	991	3868
204	996	3862
205	1000	3856
206	1005	3851
207	1010	3846
208	1015	3842
209	1020	3838
210	1025	3834
211	1030	3828
212	1034	3823
213	1039	3818
214	1044	3812
215	1048	3807
216	1053	3801
217	1058	3796
218	1063	3791
219	1067	3786
220	1072	3780
221	1077	3775
222	1082	3771
223	1087	3765
224	1091	3761
225	1096	3755
226	1101	3750
227	1106	3744
228	1110	3740
229	1115	3734
230	1120	3729
231	1125	3724
232	1130	3719
233	1134	3715
234	1139	3710
235	1144	3706
236	1149	3700
237	1154	3695
238	1158	3689
239	1163	3684
240	1168	3679
241	1173	3674
242	1178	3669
243	1182	3665
244	1187	3659
245	1192	3654
246	1197	3649
247	1201	3644
248	1206	3639
249	1211	3634
250	1215	3628
251	1221	3626
252	1226	3621
253	1231	3617
254	1236	3612
255	1241	3607
256	1245	3602
257	1250	3597
258	1255	3591
259	1260	3586
260	1265	3582
261	1270	3578
262	1275	3573
263	1279	3568
264	1284	3563
265	1289	3558
266	1294	3552
267	1298	3547
268	1303	3542
269	1308	3537
270	1313	3532
271	1318	3527
272	1323	3523
273	1327	3518
274	1332	3513
275	1337	3508
276	1342	3503
277	1347	3498
278	1351	3493
279	1356	3487
280	1361	3483
281	1366	3478
282	1371	3473
283	1376	3469
284	1381	3464
285	1385	3459
286	1390	3454
287	1395	3450
288	1400	3445
289	1405	3441
290	1410	3436
291	1415	3432
292	1420	3428
293	1425	3422
294	1430	3418
295	1434	3412
296	1439	3407
297	1444	3402
298	1450	3399
299	1455	3395
300	1460	3392
301	1466	3388
302	1471	3385
303	1476	3381
304	1481	3375
305	1486	3371
306	1491	3366
307	1496	3361
308	1501	3356
309	1506	3352
310	1510	3347
311	1515	3342
312	1520	3337
313	1525	3331
314	1530	3327
315	1534	3321
316	1540	3319
317	1545	3314
318	1550	3309
319	1555	3304
320	1559	3299
321	1564	3294
322	1569	3289
323	1574	3284
324	1579	3279
325	1584	3275
326	1588	3270
327	1594	3266
328	1599	3261
329	1604	3256
330	1608	3251
331	1613	3247
332	1620	3244
333	1624	3239
334	1629	3235
335	1634	3230
336	1639	3226
337	1644	3221
338	1649	3216
339	1654	3211
340	1659	3206
341	1664	3201
342	1668	3196
343	1673	3191
344	1679	3187
345	1684	3183
346	1689	3179
347	1694	3173
348	1698	3168
349	1703	3163
350	1708	3158
351	1712	3153
352	1717	3148
353	1722	3143
354	1727	3138
355	1732	3133
356	1736	3128
357	1741	3123
358	1746	3118
359	1751	3113
360	1756	3108
361	1760	3103
362	1765	3098
363	1770	3093
364	1775	3088
365	1779	3083
366	1784	3078
367	1789	3072
368	1794	3068
369	1799	3063
370	1804	3058
371	1808	3053
372	1813	3049
373	1818	3044
374	1823	3039
375	1828	3034
376	1832	3028
377	1837	3024
378	1842	3019
379	1847	3013
380	1852	3009
381	1857	3004
382	1862	2999
383	1867	2995
384	1871	2990
385	1876	2984
386	1881	2980
387	1886	2975
388	1890	2970
389	1895	2965
390	1901	2961
391	1906	2956
392	1911	2951
393	1916	2947
394	1921	2943
395	1926	2939
396	1932	2934
397	1937	2930
398	1943	2926
399	1948	2922
400	1953	2918
401	1958	2913
402	1963	2908
403	1967	2903
404	1972	2898
405	1977	2893
406	1982	2888
407	1987	2883
408	1992	2878
409	1997	2874
410	2002	2869
411	2007	2864
412	2011	2859
413	2016	2854
414	2021	2848
415	2025	2843
416	2030	2838
417	2035	2833
418	2039	2828
419	2044	2823
420	2049	2818
421	2054	2814
422	2059	2809
423	2064	2804
424	2069	2799
425	2074	2794
426	2079	2789
427	2083	2785
428	2088	2780
429	2093	2775
430	2098	2770
431	2103	2765
432	2108	2760
433	2112	2755
434	2117	2750
435	2122	2745
436	2127	2740
437	2131	2735
438	2136	2730
439	2141	2725
440	2146	2720
441	2150	2715
442	2155	2710
443	2160	2705
444	2165	2700
445	2169	2695
446	2174	2690
447	2179	2685
448	2184	2680
449	2189	2675
450	2194	2670
451	2198	2665
452	2203	2660
453	2208	2655
454	2212	2650
455	2217	2645
456	2222	2641
457	2228	2636
458	2232	2631
459	2237	2626
460	2241	2621
461	2246	2616
462	2251	2611
463	2256	2606
464	2260	2601
465	2265	2596
466	2270	2591
467	2275	2586
468	2280	2581
469	2285	2576
470	2290	2572
471	2294	2567
472	2299	2562
473	2304	2557
474	2309	2552
475	2313	2547
476	2318	2542
477	2323	2537
478	2328	2532
479	2333	2527
480	2338	2522
481	2342	2517
482	2347	2513
483	2352	2508
484	2358	2503
485	2362	2498
486	2367	2493
487	2371	2488
488	2376	2483
489	2381	2478
490	2386	2474
491	2391	2469
492	2396	2464
493	2400	2459
494	2405	2454
495	2410	2449
496	2415	2444
497	2420	2439
498	2425	2434
499	2429	2429
500	2434	2424
501	2439	2420
502	2444	2415
503	2449	2410
504	2453	2405
505	2458	2400
506	2463	2395
507	2467	2390
508	2472	2385
509	2478	2381
510	2482	2376
511	2487	2371
512	2493	2366
513	2498	2361
514	2503	2357
515	2507	2352
516	2512	2347
517	2517	2342
518	2523	2338
519	2542	2347
520	2548	2342
521	2553	2338
522	2558	2333
523	2563	2328
524	2568	2323
525	2573	2318
526	2578	2313
527	2583	2309
528	2587	2304
529	2592	2299
530	2597	2294
531	2602	2289
532	2607	2284
533	2611	2279
534	2616	2274
535	2621	2268
536	2625	2263
537	2630	2258
538	2635	2254
539	2640	2248
540	2644	2243
541	2649	2238
542	2654	2233
543	2659	2228
544	2664	2224
545	2669	2219
546	2674	2215
547	2679	2210
548	2684	2205
549	2689	2200
550	2694	2195
551	2699	2190
552	2704	2186
553	2709	2181
554	2714	2176
555	2719	2171
556	2724	2166
557	2729	2161
558	2733	2156
559	2738	2151
560	2743	2146
561	2748	2141
562	2753	2136
563	2757	2132
564	2762	2126
565	2767	2121
566	2771	2116
567	2777	2112
